Глубина манометра;Dшт;Руст;Pлин;Рлин;Туст;Тна шлейфе;Тзаб;Tлин;Дебит газа;Нэф;Рпл. Тек (послед точка на КВД);Рпл. Тек (Расчет по КВД);Pсб;Удельная плотность газа ;G_total;КГФ
3640.5;9.53;244.45;108.49;108.12;59.0;;107.07;36.27;383.72;63.3;42.86;50.8;97.0;0.68;;194.0
3640.5;11.11;235.66;107.79;108.5;62.0;;105.0;42.72;498.6;63.3;42.86;50.8;103.7;0.68;;187.0
3640.5;12.7;227.86;110.17;110.19;64.0;;104.9;47.99;612.21;63.3;42.86;50.8;103.8;0.68;;180.0
3667.0;7.94;264.0;95.6;95.34;49.0;26.1;105.54;26.44;243.22;63.3;39.02;48.3;93.1;0.67;;198.0
3667.0;9.53;256.0;96.6;97.32;55.0;33.4;105.57;33.69;353.22;63.3;39.02;48.3;92.8;0.67;;174.0
3667.0;11.11;249.27;98.95;40.74;60.0;39.2;105.56;39.67;451.48;63.3;39.02;48.3;94.8;0.67;;171.0
3667.0;12.7;239.64;100.1;45.06;64.0;43.7;105.51;44.07;537.87;63.3;39.02;48.3;95.2;0.67;;165.0
3667.0;14.29;223.11;102.23;47.85;66.0;47.8;105.44;48.17;653.03;63.3;39.02;48.3;96.0;0.67;;162.0
3670.0;12.7;229.89;102.4;102.29;65.1;44.8;105.04;44.74;503.75;63.3;37.19;48.0;95.8;0.67;;140.0
3668.5;9.53;248.0;94.02;94.2;59.0;32.4;104.85;33.51;338.63;72.54;36.75;48.4;88.8;0.66;;154.0
3668.5;11.11;239.0;95.51;95.88;61.0;38.6;104.83;39.29;432.74;72.54;36.75;48.4;88.1;0.66;;141.0
3668.5;12.7;223.89;94.89;95.52;64.0;42.7;104.74;42.91;514.1;72.54;36.75;48.4;88.8;0.66;;139.0
3668.5;14.29;206.0;97.27;95.52;66.0;46.9;104.64;46.72;608.78;72.54;36.75;48.4;88.9;0.66;;132.0
3424.5;6.35;219.88;101.82;101.92;24.2;;106.2;23.66;128.37;44.2;37.21;50.2;101.8;0.65;;241.0
3424.5;9.53;201.64;103.87;103.97;35.5;;106.4;36.56;244.58;44.2;37.21;50.2;103.6;0.65;;216.0
3424.5;11.11;182.39;103.06;103.45;42.3;;106.47;42.63;295.81;44.2;37.21;50.2;102.6;0.65;;191.0
3424.5;12.7;163.13;104.28;104.34;47.8;;106.4;48.02;330.5;44.2;37.21;50.2;103.9;0.65;;177.0
3424.5;14.3;149.96;104.43;104.62;50.6;;106.7;50.58;346.7;44.2;37.21;50.2;104.0;0.65;;164.0
3437.0;7.5;212.0;100.8;99.7;40.0;26.0;106.5;25.9;162.15;44.2;36.46;47.9;99.8;0.68;;219.0
3437.0;7.94;210.63;100.6;100.6;48.0;27.8;106.6;28.5;189.82;44.2;36.46;47.9;99.8;0.68;;218.0
3437.0;9.53;193.52;100.6;100.6;54.0;35.1;106.6;36.3;250.43;44.2;36.46;47.9;100.1;0.68;;200.0
3437.0;11.11;175.23;101.2;101.2;54.0;40.9;106.5;41.0;305.59;44.2;36.46;47.9;100.1;0.68;;161.0
3437.0;12.7;153.35;101.3;101.6;56.0;45.6;106.4;46.2;344.29;44.2;36.46;47.9;100.3;0.68;;157.0
3437.0;14.29;138.16;101.4;100.2;57.0;49.3;106.43;49.7;360.23;44.2;36.46;47.9;100.7;0.68;;154.0
